#Procedure: <laser_setup.procedures.VVg.VVg>
#Parameters:
#	NPLC: 1
#	Vrange: 2 V
#	Burn-in time: 60 s
#	Chip group name: other
#	Chip number: 1
#	Drain-Source current: 5e-05 A
#	Information: testing 
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 1.0.0
#	Sample: other
#	Step time: 0.2 s
#	VG end: 10 V
#	VG start: -10 V
#	VG step: 0.2 V
#Metadata:
#	Start time: 1752767347.9190385
#Data:
Vg (V),VDS (V),t (s),Plate T (degC),Ambient T (degC),Clock (ms)
0.0,0.0002867378,0.0,nan,nan,nan
-0.2,0.0002867378,0.2844395,nan,nan,nan
-0.4,0.0002862846,0.5687129,nan,nan,nan
-0.6000000000000001,0.0002859446,0.8531376,nan,nan,nan
-0.8,0.0002865109,1.138486,nan,nan,nan
-1.0,0.0002860578,1.424229,nan,nan,nan
-1.2000000000000002,0.000286398,1.708974,nan,nan,nan
-1.4000000000000001,0.0002858314,1.993611,nan,nan,nan
-1.6,0.0002851514,2.28571,nan,nan,nan
-1.8,0.0002862847,2.571048,nan,nan,nan
-2.0,0.0002861714,2.855833,nan,nan,nan
-2.2,0.0002865112,3.140205,nan,nan,nan
-2.4000000000000004,0.0002861713,3.425134,nan,nan,nan
-2.6,0.000286058,3.710976,nan,nan,nan
-2.8000000000000003,0.000286738,3.995846,nan,nan,nan
-3.0,0.0002865111,4.281224,nan,nan,nan
-3.2,0.0002862847,4.565933,nan,nan,nan
-3.4000000000000004,0.0002858315,4.852369,nan,nan,nan
-3.6,0.0002858312,5.137059,nan,nan,nan
-3.8000000000000003,0.0002860579,5.421537,nan,nan,nan
-4.0,0.000285718,5.709061,nan,nan,nan
-4.2,0.0002861712,5.997974,nan,nan,nan
-4.4,0.0002859446,6.282858,nan,nan,nan
-4.6000000000000005,0.0002863977,6.567781,nan,nan,nan
-4.800000000000001,0.0002863978,6.852437,nan,nan,nan
-5.0,0.0002866245,7.137199,nan,nan,nan
-5.2,0.0002860581,7.421669,nan,nan,nan
